dataset,model,seed,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_pred_pos_overall,status
bail,GAT,0,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,1,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,2,0.6120,0.0580,0.0491,0.0094,2.0841,0.2112,OK
bail,GAT,3,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,4,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,5,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,6,0.3605,0.0116,0.0492,0.0517,0.0231,0.7920,OK
bail,GAT,7,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,8,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,9,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,10,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,11,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,12,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,13,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,14,0.3854,0.0011,0.0063,0.0675,0.0025,0.9873,OK
bail,GAT,15,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,16,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,17,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,18,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,19,0.3669,0.0042,0.0055,0.0607,0.0088,0.9878,OK
bail,GAT,20,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,21,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,22,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,23,0.3743,0.0014,0.0017,0.0634,0.0032,0.9952,OK
bail,GAT,24,0.3557,0.0047,0.0108,0.0312,0.0332,0.9015,OK
bail,GAT,25,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,26,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,27,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,28,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,29,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,30,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,31,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,32,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,33,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,34,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,35,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,36,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,37,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,38,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,39,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,40,0.6310,0.0287,0.0007,0.0779,4.5346,0.0789,OK
bail,GAT,41,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,42,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,43,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,44,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,45,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GAT,46,0.4759,0.0704,0.0346,0.0619,0.0020,0.4203,OK
bail,GAT,47,0.7448,0.0342,0.0476,0.0343,0.1105,0.4447,OK
bail,GAT,48,0.3790,0.0000,0.0000,0.0649,0.0000,1.0000,COLLAPSED
bail,GAT,49,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GCN,0,0.7422,0.0504,0.0336,0.0412,6.5943,0.1625,OK
bail,GCN,1,0.6935,0.0123,0.0132,0.0600,16.3500,0.0863,OK
bail,GCN,2,0.7194,0.0395,0.0243,0.0441,2.8441,0.1461,OK
bail,GCN,3,0.6226,0.0008,0.0005,0.0637,0.0000,0.0026,OK
bail,GCN,4,0.6358,0.0174,0.0057,0.0700,80.4103,0.0318,OK
bail,GCN,5,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GCN,6,0.7538,0.1008,0.0386,0.0424,0.1816,0.4166,OK
bail,GCN,7,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GCN,8,0.6194,0.0079,0.0051,0.0682,279.1667,0.0058,OK
bail,GCN,9,0.7554,0.0695,0.0174,0.0369,0.0768,0.3579,OK
bail,GCN,10,0.6691,0.0120,0.0016,0.0578,33.9333,0.0566,OK
bail,GCN,11,0.6543,0.0239,0.0326,0.0505,36.8750,0.0461,OK
bail,GCN,12,0.6945,0.0238,0.0162,0.0472,2.8833,0.0969,OK
bail,GCN,13,0.6596,0.0047,0.0071,0.0607,10.3333,0.0450,OK
bail,GCN,14,0.4103,0.0132,0.0135,0.0367,0.0149,0.9412,OK
bail,GCN,15,0.6331,0.0294,0.0304,0.0586,4.6692,0.0619,OK
bail,GCN,16,0.6210,0.0000,0.0000,0.0649,0.0000,0.0000,COLLAPSED
bail,GCN,17,0.7041,0.0105,0.0353,0.0422,7.2684,0.1445,OK
bail,GCN,18,0.6400,0.0493,0.0150,0.0718,0.9987,0.1620,OK
bail,GCN,19,0.6866,0.0377,0.0338,0.0489,10.5591,0.0985,OK
bail,GCN,20,0.6305,0.0035,0.0003,0.0641,19.7500,0.0169,OK
bail,GCN,21,0.6893,0.0125,0.0025,0.0392,1.6896,0.1657,OK
bail,GCN,22,0.6294,0.0054,0.0002,0.0663,241.2500,0.0138,OK
bail,GCN,23,0.6993,0.0321,0.0201,0.0500,9.7882,0.1069,OK
bail,GCN,24,0.7713,0.0348,0.0155,0.0484,0.3941,0.2181,OK
bail,GCN,25,0.6776,0.0245,0.0120,0.0571,18.6429,0.0789,OK
bail,GCN,26,0.6257,0.0043,0.0023,0.0677,50.1667,0.0143,OK
bail,GCN,27,0.6199,0.0221,0.0101,0.0453,0.1618,0.5601,OK
