dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
bail,GAT,0,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,1,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,2,42,0.80,0.10,0.10,0.6120,0.0580,0.0491,0.0094,2.0841,1889,906,983,374,342,374,342,532,641,0.2112,0.1810,0.2391,0.2433,0.2924,0.1372,0.2106
bail,GAT,3,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,4,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,5,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,6,42,0.80,0.10,0.10,0.3605,0.0116,0.0492,0.0517,0.0231,1889,906,983,374,342,374,342,532,641,0.7920,0.7980,0.7864,0.7246,0.6754,0.8496,0.8456
bail,GAT,7,42,0.80,0.10,0.10,0.3790,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
bail,GAT,8,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bail,GAT,9,42,0.80,0.10,0.10,0.6210,0.0000,0.0000,0.0649,0.0000,1889,906,983,374,342,374,342,532,641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
