dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Accuracy_ci_low,Accuracy_ci_high,SPD_mean,SPD_std,SPD,SPD_ci_low,SPD_ci_high,EOD_mean,EOD_std,EOD,EOD_ci_low,EOD_ci_high,OAED_mean,OAED_std,OAED,OAED_ci_low,OAED_ci_high,TED_mean,TED_std,TED,TED_ci_low,TED_ci_high,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall_mean,diagnostics_pred_pos_overall_std,diagnostics_pred_pos_S0_mean,diagnostics_pred_pos_S0_std,diagnostics_pred_pos_S1_mean,diagnostics_pred_pos_S1_std,diagnostics_TPR_S0_mean,diagnostics_TPR_S0_std,diagnostics_TPR_S1_mean,diagnostics_TPR_S1_std,diagnostics_FPR_S0_mean,diagnostics_FPR_S0_std,diagnostics_FPR_S1_mean,diagnostics_FPR_S1_std
bail,GAT,50,0.5034,0.1259,0.5034 ± 0.1259,0.4691,0.5378,0.0043,0.0140,0.0043 ± 0.0140,0.0009,0.0085,0.0041,0.0125,0.0041 ± 0.0125,0.0011,0.0080,0.0624,0.0103,0.0624 ± 0.0103,0.0591,0.0648,0.1360,0.6998,0.1360 ± 0.6998,0.0019,0.3589,1889,906,983,374,342,374,342,532,641,0.4964,0.4842,0.4973,0.4842,0.4955,0.4842,0.5004,0.4826,0.4989,0.4816,0.4951,0.4883,0.4937,0.4875
bail,GAT+FAME,50,0.8470,0.1059,0.8470 ± 0.1059,0.8162,0.8745,0.0530,0.0224,0.0530 ± 0.0224,0.0467,0.0589,0.0228,0.0173,0.0228 ± 0.0173,0.0185,0.0276,0.0193,0.0199,0.0193 ± 0.0199,0.0141,0.0247,3.2600,6.3513,3.2600 ± 6.3513,1.7464,5.3451,1889,906,983,374,342,374,342,532,641,0.2547,0.1192,0.2823,0.1301,0.2292,0.1093,0.6449,0.2980,0.6222,0.2954,0.0273,0.0157,0.0196,0.0127
bail,GAT+FAME+PFR,11,0.8483,0.1204,0.8483 ± 0.1204,0.7751,0.9096,0.0525,0.0271,0.0525 ± 0.0271,0.0361,0.0661,0.0165,0.0107,0.0165 ± 0.0107,0.0103,0.0225,0.0204,0.0231,0.0204 ± 0.0231,0.0088,0.0356,0.6570,0.8879,0.6570 ± 0.8879,0.2538,1.2402,1889,906,983,374,342,374,342,532,641,0.2659,0.1365,0.2932,0.1503,0.2407,0.1237,0.6585,0.3416,0.6419,0.3342,0.0364,0.0217,0.0267,0.0168
bail,GAT+PFR,11,0.5112,0.1261,0.5112 ± 0.1261,0.4453,0.5772,0.0003,0.0009,0.0003 ± 0.0009,0.0000,0.0008,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0646,0.0009,0.0646 ± 0.0009,0.0641,0.0649,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,1889,906,983,374,342,374,342,532,641,0.4543,0.5220,0.4544,0.5221,0.4542,0.5218,0.4545,0.5222,0.4545,0.5222,0.4544,0.5220,0.4540,0.5216
bail,GCN,50,0.6752,0.0678,0.6752 ± 0.0678,0.6553,0.6929,0.0206,0.0214,0.0206 ± 0.0214,0.0148,0.0266,0.0142,0.0124,0.0142 ± 0.0124,0.0108,0.0176,0.0524,0.0153,0.0524 ± 0.0153,0.0479,0.0563,26.8788,57.6181,26.8788 ± 57.6181,13.6362,44.5257,1889,906,983,374,342,374,342,532,641,0.1334,0.1712,0.1432,0.1754,0.1245,0.1680,0.2496,0.2446,0.2454,0.2432,0.0683,0.1487,0.0600,0.1477
bail,GCN+FAME,50,0.6301,0.0072,0.6301 ± 0.0072,0.6282,0.6321,0.0074,0.0028,0.0074 ± 0.0028,0.0066,0.0082,0.0064,0.0043,0.0064 ± 0.0043,0.0052,0.0076,0.0635,0.0031,0.0635 ± 0.0031,0.0627,0.0643,112.0991,81.1546,112.0991 ± 81.1546,91.1578,135.5666,1889,906,983,374,342,374,342,532,641,0.0157,0.0085,0.0196,0.0096,0.0121,0.0076,0.0357,0.0214,0.0296,0.0198,0.0083,0.0031,0.0028,0.0015
bail,GCN+FAME+PFR,11,0.5716,0.1022,0.5716 ± 0.1022,0.5043,0.6186,0.0155,0.0235,0.0155 ± 0.0235,0.0040,0.0308,0.0176,0.0314,0.0176 ± 0.0314,0.0028,0.0368,0.0600,0.0211,0.0600 ± 0.0211,0.0458,0.0695,9.3056,21.6391,9.3056 ± 21.6391,0.5499,22.6929,1889,906,983,374,342,374,342,532,641,0.1465,0.3091,0.1429,0.2953,0.1499,0.3219,0.1215,0.2624,0.1356,0.2948,0.1579,0.3202,0.1576,0.3376
bail,GCN+PFR,11,0.6662,0.0468,0.6662 ± 0.0468,0.6416,0.6952,0.0155,0.0139,0.0155 ± 0.0139,0.0084,0.0233,0.0130,0.0103,0.0130 ± 0.0103,0.0075,0.0190,0.0505,0.0212,0.0505 ± 0.0212,0.0378,0.0611,34.1426,57.2497,34.1426 ± 57.2497,9.6739,71.7177,1889,906,983,374,342,374,342,532,641,0.0825,0.0896,0.0906,0.0934,0.0751,0.0864,0.1736,0.1807,0.1629,0.1748,0.0323,0.0349,0.0282,0.0419
bail,GIN,50,0.8460,0.1103,0.8460 ± 0.1103,0.8153,0.8738,0.0564,0.0153,0.0564 ± 0.0153,0.0522,0.0603,0.0295,0.0134,0.0295 ± 0.0134,0.0258,0.0332,0.0211,0.0117,0.0211 ± 0.0117,0.0180,0.0244,0.1391,0.2780,0.1391 ± 0.2780,0.0722,0.2223,1889,906,983,374,342,374,342,532,641,0.4747,0.1312,0.5041,0.1253,0.4477,0.1369,0.9372,0.0274,0.9077,0.0387,0.1995,0.1969,0.2023,0.1922
bail,GIN+PFR,11,0.7420,0.1723,0.7420 ± 0.1723,0.6437,0.8313,0.0491,0.0224,0.0491 ± 0.0224,0.0350,0.0605,0.0190,0.0126,0.0190 ± 0.0126,0.0121,0.0259,0.0237,0.0190,0.0237 ± 0.0190,0.0140,0.0351,0.0275,0.0262,0.0275 ± 0.0262,0.0127,0.0428,1889,906,983,374,342,374,342,532,641,0.5986,0.1974,0.6241,0.1869,0.5750,0.2072,0.9584,0.0296,0.9394,0.0405,0.3891,0.2984,0.3807,0.2971
