dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
bail,GAT,GAT+FAME,Accuracy,0.3436,0.1565,0.3013,0.3874,50
bail,GAT,GAT+FAME,Statistical Parity Difference,0.0487,0.0248,0.0419,0.0551,50
bail,GAT,GAT+FAME,Equal Opportunity Difference,0.0187,0.0192,0.0135,0.0239,50
bail,GAT,GAT+FAME,Overall Accuracy Equality Difference,-0.0431,0.0218,-0.0490,-0.0370,50
bail,GAT,GAT+FAME,Treatment Equality Difference,3.1240,6.4446,1.5853,5.0642,50
bail,GAT,GAT+FAME+PFR,Accuracy,0.3700,0.1524,0.2837,0.4634,10
bail,GAT,GAT+FAME+PFR,Statistical Parity Difference,0.0548,0.0236,0.0392,0.0671,10
bail,GAT,GAT+FAME+PFR,Equal Opportunity Difference,0.0181,0.0098,0.0124,0.0235,10
bail,GAT,GAT+FAME+PFR,Overall Accuracy Equality Difference,-0.0502,0.0199,-0.0600,-0.0370,10
bail,GAT,GAT+FAME+PFR,Treatment Equality Difference,0.2693,1.7902,-0.8359,1.1987,10
bail,GAT,GAT+PFR,Accuracy,0.0235,0.0768,-0.0028,0.0726,10
bail,GAT,GAT+PFR,Statistical Parity Difference,-0.0026,0.0092,-0.0086,0.0009,10
bail,GAT,GAT+PFR,Equal Opportunity Difference,-0.0001,0.0002,-0.0002,0.0000,10
bail,GAT,GAT+PFR,Overall Accuracy Equality Difference,-0.0016,0.0041,-0.0045,0.0000,10
bail,GAT,GAT+PFR,Treatment Equality Difference,-0.4535,1.4340,-1.3604,0.0000,10
bail,GAT,GCN,Accuracy,0.1718,0.1374,0.1330,0.2099,50
bail,GAT,GCN,Statistical Parity Difference,0.0163,0.0234,0.0100,0.0228,50
bail,GAT,GCN,Equal Opportunity Difference,0.0101,0.0157,0.0057,0.0143,50
bail,GAT,GCN,Overall Accuracy Equality Difference,-0.0100,0.0174,-0.0146,-0.0053,50
bail,GAT,GCN,Treatment Equality Difference,26.7428,57.5893,12.5326,43.4558,50
bail,GAT,GCN+FAME,Accuracy,0.1267,0.1259,0.0928,0.1612,50
bail,GAT,GCN+FAME,Statistical Parity Difference,0.0031,0.0145,-0.0015,0.0068,50
bail,GAT,GCN+FAME,Equal Opportunity Difference,0.0022,0.0137,-0.0018,0.0055,50
bail,GAT,GCN+FAME,Overall Accuracy Equality Difference,0.0011,0.0110,-0.0015,0.0044,50
bail,GAT,GCN+FAME,Treatment Equality Difference,111.9631,81.0073,90.0287,134.9911,50
bail,GAT,GCN+FAME+PFR,Accuracy,0.0657,0.1658,-0.0322,0.1629,10
bail,GAT,GCN+FAME+PFR,Statistical Parity Difference,0.0142,0.0279,-0.0009,0.0308,10
bail,GAT,GCN+FAME+PFR,Equal Opportunity Difference,0.0193,0.0326,0.0029,0.0424,10
bail,GAT,GCN+FAME+PFR,Overall Accuracy Equality Difference,-0.0067,0.0222,-0.0221,0.0044,10
bail,GAT,GCN+FAME+PFR,Treatment Equality Difference,9.7827,22.8487,0.3006,24.9702,10
bail,GAT,GCN+PFR,Accuracy,0.1586,0.1230,0.0870,0.2274,10
bail,GAT,GCN+PFR,Statistical Parity Difference,0.0105,0.0166,0.0010,0.0200,10
bail,GAT,GCN+PFR,Equal Opportunity Difference,0.0118,0.0102,0.0063,0.0180,10
bail,GAT,GCN+PFR,Overall Accuracy Equality Difference,-0.0144,0.0213,-0.0272,-0.0036,10
bail,GAT,GCN+PFR,Treatment Equality Difference,37.0195,59.0421,11.7905,77.4322,10
bail,GAT,GIN,Accuracy,0.3426,0.1692,0.2965,0.3899,50
bail,GAT,GIN,Statistical Parity Difference,0.0521,0.0172,0.0473,0.0565,50
bail,GAT,GIN,Equal Opportunity Difference,0.0254,0.0147,0.0216,0.0293,50
bail,GAT,GIN,Overall Accuracy Equality Difference,-0.0413,0.0146,-0.0450,-0.0368,50
bail,GAT,GIN,Treatment Equality Difference,0.0030,0.7559,-0.2315,0.1751,50
bail,GAT,GIN+PFR,Accuracy,0.2646,0.1733,0.1629,0.3668,10
bail,GAT,GIN+PFR,Statistical Parity Difference,0.0503,0.0212,0.0381,0.0620,10
bail,GAT,GIN+PFR,Equal Opportunity Difference,0.0205,0.0122,0.0133,0.0278,10
bail,GAT,GIN+PFR,Overall Accuracy Equality Difference,-0.0460,0.0164,-0.0540,-0.0354,10
bail,GAT,GIN+PFR,Treatment Equality Difference,-0.4232,1.4416,-1.3409,0.0438,10
bail,GAT+FAME,GAT+FAME+PFR,Accuracy,0.0220,0.0529,-0.0017,0.0569,10
bail,GAT+FAME,GAT+FAME+PFR,Statistical Parity Difference,0.0081,0.0145,0.0008,0.0172,10
bail,GAT+FAME,GAT+FAME+PFR,Equal Opportunity Difference,0.0052,0.0077,0.0009,0.0100,10
bail,GAT+FAME,GAT+FAME+PFR,Overall Accuracy Equality Difference,-0.0065,0.0127,-0.0146,-0.0008,10
bail,GAT+FAME,GAT+FAME+PFR,Treatment Equality Difference,-0.2259,0.6773,-0.6365,0.1538,10
bail,GAT+FAME,GAT+PFR,Accuracy,-0.3245,0.1739,-0.4187,-0.2282,10
bail,GAT+FAME,GAT+PFR,Statistical Parity Difference,-0.0493,0.0273,-0.0637,-0.0326,10
bail,GAT+FAME,GAT+PFR,Equal Opportunity Difference,-0.0130,0.0107,-0.0195,-0.0067,10
bail,GAT+FAME,GAT+PFR,Overall Accuracy Equality Difference,0.0422,0.0240,0.0272,0.0552,10
bail,GAT+FAME,GAT+PFR,Treatment Equality Difference,-0.9486,0.9750,-1.5491,-0.4064,10
bail,GAT+FAME,GCN,Accuracy,-0.1718,0.1203,-0.2036,-0.1376,50
bail,GAT+FAME,GCN,Statistical Parity Difference,-0.0324,0.0292,-0.0405,-0.0239,50
