dataset,model,metric,mean,std,ci_low,ci_high,n
bail,GAT,Statistical Parity Difference,0.0043,0.0140,0.0009,0.0085,50
bail,GAT,Equal Opportunity Difference,0.0041,0.0125,0.0011,0.0080,50
bail,GAT,Overall Accuracy Equality Difference,0.0624,0.0103,0.0591,0.0648,50
bail,GAT,Treatment Equality Difference,0.1360,0.6998,0.0019,0.3589,50
bail,GAT,Accuracy,0.5034,0.1259,0.4691,0.5378,50
bail,GAT+FAME,Statistical Parity Difference,0.0530,0.0224,0.0467,0.0589,50
bail,GAT+FAME,Equal Opportunity Difference,0.0228,0.0173,0.0185,0.0276,50
bail,GAT+FAME,Overall Accuracy Equality Difference,0.0193,0.0199,0.0141,0.0247,50
bail,GAT+FAME,Treatment Equality Difference,3.2600,6.3513,1.7464,5.3451,50
bail,GAT+FAME,Accuracy,0.8470,0.1059,0.8162,0.8745,50
bail,GAT+FAME+PFR,Statistical Parity Difference,0.0525,0.0271,0.0361,0.0661,11
bail,GAT+FAME+PFR,Equal Opportunity Difference,0.0165,0.0107,0.0103,0.0225,11
bail,GAT+FAME+PFR,Overall Accuracy Equality Difference,0.0204,0.0231,0.0088,0.0356,11
bail,GAT+FAME+PFR,Treatment Equality Difference,0.6570,0.8879,0.2538,1.2402,11
bail,GAT+FAME+PFR,Accuracy,0.8483,0.1204,0.7751,0.9096,11
bail,GAT+PFR,Statistical Parity Difference,0.0003,0.0009,0.0000,0.0008,11
bail,GAT+PFR,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,11
bail,GAT+PFR,Overall Accuracy Equality Difference,0.0646,0.0009,0.0641,0.0649,11
bail,GAT+PFR,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,11
bail,GAT+PFR,Accuracy,0.5112,0.1261,0.4453,0.5772,11
bail,GCN,Statistical Parity Difference,0.0206,0.0214,0.0148,0.0266,50
bail,GCN,Equal Opportunity Difference,0.0142,0.0124,0.0108,0.0176,50
bail,GCN,Overall Accuracy Equality Difference,0.0524,0.0153,0.0479,0.0563,50
bail,GCN,Treatment Equality Difference,26.8788,57.6181,13.6362,44.5257,50
bail,GCN,Accuracy,0.6752,0.0678,0.6553,0.6929,50
bail,GCN+FAME,Statistical Parity Difference,0.0074,0.0028,0.0066,0.0082,50
bail,GCN+FAME,Equal Opportunity Difference,0.0064,0.0043,0.0052,0.0076,50
bail,GCN+FAME,Overall Accuracy Equality Difference,0.0635,0.0031,0.0627,0.0643,50
bail,GCN+FAME,Treatment Equality Difference,112.0991,81.1546,91.1578,135.5666,50
bail,GCN+FAME,Accuracy,0.6301,0.0072,0.6282,0.6321,50
bail,GCN+FAME+PFR,Statistical Parity Difference,0.0155,0.0235,0.0040,0.0308,11
bail,GCN+FAME+PFR,Equal Opportunity Difference,0.0176,0.0314,0.0028,0.0368,11
bail,GCN+FAME+PFR,Overall Accuracy Equality Difference,0.0600,0.0211,0.0458,0.0695,11
bail,GCN+FAME+PFR,Treatment Equality Difference,9.3056,21.6391,0.5499,22.6929,11
bail,GCN+FAME+PFR,Accuracy,0.5716,0.1022,0.5043,0.6186,11
bail,GCN+PFR,Statistical Parity Difference,0.0155,0.0139,0.0084,0.0233,11
bail,GCN+PFR,Equal Opportunity Difference,0.0130,0.0103,0.0075,0.0190,11
bail,GCN+PFR,Overall Accuracy Equality Difference,0.0505,0.0212,0.0378,0.0611,11
