dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
credit,GCN,0,42,,,,0.7734,0.0307,0.0216,0.2380,125.7661,,,,,,,,,,,,,,,,
credit,GCN,1,42,,,,0.7721,0.0168,0.0172,0.2278,115.6332,,,,,,,,,,,,,,,,
credit,GCN,2,42,,,,0.7624,0.0152,0.0193,0.2383,22.2007,,,,,,,,,,,,,,,,
credit,GCN,3,42,,,,0.7784,0.0007,0.0009,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GCN,4,42,,,,0.4535,0.2620,0.2866,0.1829,0.5379,,,,,,,,,,,,,,,,
credit,GCN,5,42,,,,0.7784,0.0014,0.0012,0.2359,266.6261,,,,,,,,,,,,,,,,
credit,GCN,6,42,,,,0.7787,0.0021,0.0012,0.2338,274.1584,,,,,,,,,,,,,,,,
credit,GCN,7,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GCN,8,42,,,,0.7727,0.0515,0.0166,0.2048,9.6579,,,,,,,,,,,,,,,,
credit,GCN,9,42,,,,0.7681,0.0250,0.0274,0.2359,42.8244,,,,,,,,,,,,,,,,
credit,GCN,10,42,,,,0.7584,0.1017,0.0882,0.1589,42.6268,,,,,,,,,,,,,,,,
credit,GCN,11,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GCN,12,42,,,,0.6385,0.0868,0.1285,0.0939,0.6715,,,,,,,,,,,,,,,,
credit,GCN,13,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GCN,14,42,,,,0.7787,0.0000,0.0000,0.2359,0.0000,,,,,,,,,,,,,,,,
credit,GCN,15,42,,,,0.7787,0.0010,0.0009,0.2359,0.0000,,,,,,,,,,,,,,,,
