dataset,model,metric,mean,std,ci_low,ci_high,ci_width,cv
bail,GAT,Accuracy,0.5837,0.1332,0.5365,0.6298,0.0934,0.2282
bail,GAT,Statistical Parity Difference,0.1783,0.2400,0.0998,0.2653,0.1655,1.3457
bail,GAT,Equal Opportunity Difference,0.1683,0.2417,0.0898,0.2670,0.1772,1.4365
bail,GAT,Overall Accuracy Equality Difference,0.1937,0.0794,0.1682,0.2226,0.0545,0.4102
bail,GAT,Treatment Equality Difference,20.9049,49.7868,6.1381,40.4826,34.3445,2.3816
bail,GCN,Accuracy,0.8349,0.0259,0.8251,0.8436,0.0185,0.0311
bail,GCN,Statistical Parity Difference,0.1174,0.0365,0.1044,0.1299,0.0255,0.3112
bail,GCN,Equal Opportunity Difference,0.1972,0.0623,0.1754,0.2183,0.0429,0.3161
bail,GCN,Overall Accuracy Equality Difference,0.0856,0.0262,0.0763,0.0949,0.0186,0.3062
bail,GCN,Treatment Equality Difference,0.2556,0.1741,0.2020,0.3254,0.1234,0.6811
bail,GIN,Accuracy,0.9008,0.0450,0.8836,0.9142,0.0307,0.0500
bail,GIN,Statistical Parity Difference,0.1591,0.0491,0.1416,0.1771,0.0355,0.3085
bail,GIN,Equal Opportunity Difference,0.1516,0.0381,0.1385,0.1642,0.0257,0.2516
bail,GIN,Overall Accuracy Equality Difference,0.1069,0.0511,0.0908,0.1262,0.0354,0.4777
bail,GIN,Treatment Equality Difference,0.7610,0.8918,0.4906,1.0975,0.6069,1.1718
credit,GAT,Accuracy,0.5585,0.2653,0.4642,0.6509,0.1867,0.4750
credit,GAT,Statistical Parity Difference,0.0225,0.0545,0.0058,0.0427,0.0369,2.4234
credit,GAT,Equal Opportunity Difference,0.0234,0.0561,0.0064,0.0440,0.0376,2.3944
credit,GAT,Overall Accuracy Equality Difference,0.2295,0.0217,0.2205,0.2361,0.0156,0.0946
credit,GAT,Treatment Equality Difference,0.6728,3.3115,0.0144,1.9348,1.9204,4.9217
credit,GCN,Accuracy,0.7561,0.0634,0.7294,0.7731,0.0438,0.0839
credit,GCN,Statistical Parity Difference,0.0357,0.0596,0.0174,0.0594,0.0420,1.6689
credit,GCN,Equal Opportunity Difference,0.0367,0.0656,0.0163,0.0625,0.0462,1.7868
credit,GCN,Overall Accuracy Equality Difference,0.2288,0.0339,0.2144,0.2396,0.0252,0.1484
credit,GCN,Treatment Equality Difference,90.0845,172.6656,37.7031,159.5901,121.8871,1.9167
credit,GIN,Accuracy,0.7787,0.0000,0.7787,0.7787,0.0000,0.0000
credit,GIN,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
credit,GIN,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
credit,GIN,Overall Accuracy Equality Difference,0.2359,0.0000,0.2359,0.2359,0.0000,0.0000
credit,GIN,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT,Accuracy,0.5297,0.2246,0.4406,0.6040,0.1634,0.4239
german,GAT,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GAT,Overall Accuracy Equality Difference,0.3281,0.0000,0.3281,0.3281,0.0000,0.0000
german,GAT,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN,Accuracy,0.5891,0.2077,0.5149,0.6634,0.1485,0.3525
german,GCN,Statistical Parity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN,Equal Opportunity Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GCN,Overall Accuracy Equality Difference,0.3281,0.0000,0.3281,0.3281,0.0000,0.0000
german,GCN,Treatment Equality Difference,0.0000,0.0000,0.0000,0.0000,0.0000,
german,GIN,Accuracy,0.7142,0.0214,0.7059,0.7208,0.0149,0.0300
german,GIN,Statistical Parity Difference,0.0271,0.0617,0.0081,0.0523,0.0442,2.2792
german,GIN,Equal Opportunity Difference,0.0255,0.0566,0.0080,0.0468,0.0388,2.2237
german,GIN,Overall Accuracy Equality Difference,0.3113,0.0370,0.2979,0.3225,0.0246,0.1187
german,GIN,Treatment Equality Difference,0.6320,1.7037,0.1222,1.3087,1.1864,2.6957
