dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
credit,GCN,0,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,1,42,,,,0.6395,0.0044,0.0121,0.1822,47.8212,,,,,,,,,,,,,,,,
credit,GCN,2,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,3,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,4,42,,,,0.6408,0.0110,0.0124,0.1988,75.1978,,,,,,,,,,,,,,,,
credit,GCN,5,42,,,,0.3585,0.1124,0.2664,0.0964,1.3850,,,,,,,,,,,,,,,,
credit,GCN,6,42,,,,0.6328,0.0120,0.0153,0.1907,37.0000,,,,,,,,,,,,,,,,
credit,GCN,7,42,,,,0.6465,0.0068,0.0027,0.1988,151.5458,,,,,,,,,,,,,,,,
credit,GCN,8,42,,,,0.6438,0.0224,0.0458,0.1967,135.8141,,,,,,,,,,,,,,,,
credit,GCN,9,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,10,42,,,,0.6001,0.1208,0.1223,0.1170,7.3606,,,,,,,,,,,,,,,,
credit,GCN,11,42,,,,0.6361,0.0197,0.0155,0.1946,273.0000,,,,,,,,,,,,,,,,
credit,GCN,12,42,,,,0.4822,0.1166,0.2794,0.1179,1.3986,,,,,,,,,,,,,,,,
credit,GCN,13,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,14,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,15,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,16,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,17,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,18,42,,,,0.6425,0.0307,0.0302,0.1550,90.5427,,,,,,,,,,,,,,,,
credit,GCN,19,42,,,,0.6021,0.0479,0.0684,0.1829,13.9109,,,,,,,,,,,,,,,,
credit,GCN,20,42,,,,0.6465,0.0056,0.0022,0.1946,273.0000,,,,,,,,,,,,,,,,
credit,GCN,21,42,,,,0.6488,0.0147,0.0286,0.1780,97.5798,,,,,,,,,,,,,,,,
credit,GCN,22,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
credit,GCN,23,42,,,,0.6511,0.0003,0.0003,0.1924,911.0000,,,,,,,,,,,,,,,,
credit,GCN,24,42,,,,0.6335,0.0111,0.0327,0.2052,49.6526,,,,,,,,,,,,,,,,
credit,GCN,25,42,,,,0.6445,0.0072,0.0120,0.1988,91.0000,,,,,,,,,,,,,,,,
credit,GCN,26,42,,,,0.6531,0.0011,0.0038,0.1903,0.0010,,,,,,,,,,,,,,,,
credit,GCN,27,42,,,,0.6514,0.0000,0.0000,0.1924,0.0000,,,,,,,,,,,,,,,,
